Title,Question,Answer,Hint,Popularity/Fun,Difficulty
The Non-Boxer,"There are three brothers: Al, Ben, and Carl. Two of the three brothers are boxers. Here are some facts:
1. The shorter of Al and Ben is the older boxer.
2. The younger of Ben and Carl is the shorter boxer.
3. The taller of Al and Carl is the younger boxer.
Which brother is not a boxer?","Carl is not a boxer.
From fact 1, we know that Carl is not the older boxer.
From fact 3, we know that Ben is not the younger boxer.
We now have three possible scenarios:
1. Al is the younger boxer and Ben is the older boxer.
2. Ben is the older boxer and Carl is the younger boxer.
3. Al is the older boxer and Carl is the younger boxer.
If scenario 1 is true, fact 1 tells us that Ben is shorter than Al.
If scenario 2 is true, fact 1 tells us that Ben is shorter than Al; fact 3 tells us that Carl is taller than Al, making Ben shorter than Carl.
If scenario 3 is true, fact 3 tells us that Carl is taller than Al.
We can now expand our three scenarios:
1. Al is the younger, taller boxer, and Ben is the older, shorter boxer.
2. Ben is the older, shorter boxer, and Carl is the younger, taller boxer.
3. Al is the older, shorter boxer, and Carl is the younger, taller boxer.
Scenario 2 cannot be possible because it contradicts fact 2 by making the younger of Ben and Carl the taller boxer.
Fact 2 also tells us that Al is not the shorter boxer, so scenario 3 cannot be possible, either.
Therefore, scenario 1 is true, which means that Carl is not a boxer.",,3.1,2.38
"Why, Skid Mark, Why?","After recent events, Question Mark is annoyed with his brother, Skid Mark. Skid thought it would be funny to hide Question's wallet. He told Question that he would get it back if he finds it. So, first off, Skid laid five colored keys in a row. One of them is a key to a room where Skid is hiding Question's wallet. Using the clues, can you determine the order of the keys and which is the right key?
Red: This key is somewhere to the left of the key to the door.
Blue: This key is not at one of the ends.
Green: This key is three spaces away from the key to the door (2 between).
Yellow: This key is next to the key to the door.
Orange: This key is in the middle.","The order (from left to right) is Green, Red, Orange, Blue, Yellow.
The blue key is the key to the door.",,3.09,1.86
Inspector Beethoven III,"Handel has been killed and Beethoven is on the case.  He has interviewed the four suspects and their statements are shown below.  Each suspect has said two sentences.  One sentence of each suspect is a lie and one sentence is the truth.  Help Beethoven figure out who the killer is.
Joplin:  I did not kill Handel.  Either Grieg is the killer or none of us is.
Grieg:  I did not kill Handel.  Gershwin is the killer.
Strauss:  I did not kill Handel.  Grieg is lying when he says Gershwin is the killer.
Gershwin:  I did not kill Handel.  If Joplin did not kill him, then Grieg did.","Strauss is the one who killed Handel.
You need to take turns assuming someone is the killer; that means everyone's second sentence is a lie. If Joplin was the killer, Grieg's lie mixed with Strauss' counteracts the other. If Grieg was the killer, Gershwin would need to be a killer too. If Gershwin was the killer, Grieg and Strauss counter each other again, but with Strauss, everything would fit.",,3.09,2.04
Einstein's Riddle,"Einstein's Riddle:
Einstein wrote the following riddle. He said that 98% of the world could not solve it. But several NIEHS scientists were able to solve it, and they said it's not all that hard if you pay attention and are very patient. Give it a try:
There are 5 houses in 5 different colors in a row. In each house lives a person with a different nationality. The 5 owners drink a certain type of beverage, smoke a certain brand of cigar, and keep a certain pet. No owners have the same pet, smoke the same brand of cigar, or drink the same beverage. Other facts:
1.	The Brit lives in the red house.
2.	The Swede keeps dogs as pets.
3.	The Dane drinks tea.
4.	The green house is on the immediate left of the white house.
5.	The green house's owner drinks coffee.
6.	The owner who smokes Pall Mall rears birds.
7.	The owner of the yellow house smokes Dunhill.
8.	The owner living in the center house drinks milk.
9.	The Norwegian lives in the first house.
10.	The owner who smokes Blends lives next to the one who keeps cats.
11.	The owner who keeps the horse lives next to the one who smokes Dunhill.
12.	The owner who smokes Bluemasters drinks beer.
13.	The German smokes Prince.
14.	The Norwegian lives next to the blue house.
15.	The owner who smokes Blends lives next to the one who drinks water.
The question is: WHO OWNS THE FISH?","The German sits in his Green House, smoking his Prince cigars, drinking coffee, and watching his FISH.
The rest go like this-
1st House: Yellow, Norwegian, Water, Cats, Dunhill
2nd House: Blue, Dane, Tea, Horse, Blends
3rd House: Red, Brit, Milk, Birds, Pall Malls
4th House: Green, German, Coffee, FISH, Prince
5th House: White, Swede, Beer, Dogs, Bluemasters",Just take your time. This one should take you some time and is probably one of the harder riddles you see.,3.07,3.04
Timepieces,A sundial is a timepiece that has the fewest number of moving parts. Which timepiece has the most moving parts?,An Hourglass,,3.07,2.11
Survival of the Sheep,"There is an island filled with grass and trees and plants. The only inhabitants are 100 lions and 1 sheep.
The lions are special:
1) They are infinitely logical, smart, and completely aware of their surroundings.
2) They can survive by just eating grass (and there is an infinite amount of grass on the island).
3) They prefer of course to eat sheep.
4) Their only food options are grass or sheep.
Now, here's the kicker:
5) If a lion eats a sheep he TURNS into a sheep (and could then be eaten by other lions).
6) A lion would rather eat grass all his life than be eaten by another lion (after he turned into a sheep).
Assumptions:
1) Assume that one lion is closest to the sheep and will get to it before all others. Assume that there is never an issue with who gets to the sheep first. The issue is whether the first lion will get eaten by other lions afterwards or not.
2) The sheep cannot get away from the lion if the lion decides to eat it.
3) Do not assume anything that hasn't been stated above.
So now the question:
Will that one sheep get eaten or not and why?","The sheep would remain untouched.
In fact, the sheep would remain untouched if there is an even number of lions on the island, and would be eaten immediately if there is an odd number of lions on the island.
Here's the reasoning:
Consider a scenario with just one lion and one sheep: The lion will eat the sheep. Why? Because after he eats it and turns into a sheep himself, there aren't any lions on the island to eat him, so he is happy.
Now look at a scenario with 2 lions and 1 sheep. Here the sheep would remain unharmed. Why? Because if any one of them eats it, and turns into a sheep himself, he knows that he awaits certain death because he will then be a sheep and the other lion will be the only lion on the island and nothing will stop him from eating the sheep.
So now we know for a fact 1 lion and 1 sheep - sheep gets eaten. 2 lions and 1 sheep - sheep doesn't get eaten.
We can now make a conclusion about 3 lions and 1 sheep: the sheep will definitely be eaten, because the lion that eats it will know that by eating he leaves behind 2 lions and 1 sheep (himself). And as we already know 2 lions and 1 sheep is a situation where the sheep survives.
You can use the same logic to go on to 4 lions and 1 sheep, and then all the way to 100 or 1000, but it will always be true that with an odd number of lions the sheep gets eaten and with an even number the sheep doesn't.","There are two hints. The first one will really be just that - a small hint. The second one is a BIG one, and could very well give it away, so don't read it if you don't want to:
Hint 1) Use math induction.
Hint 2) Consider the scenario where there is only one lion and one sheep. What would happen? Now take the next step.",3.07,2.55
Lazy Sam the Journalist Part 8,"Sam the journalist has landed a job somewhere. The problem is, he doesn't know where. All he knows is that it is in one of 6 cities lined up in a row in northern Canada: Eh Land, Hockeyville, Curling Town, Snowburg, New France, and Canada City. However his employer has left clues.
1. Curling Town is 2 cities away from the job's location.
2. Hockeyville is 3 cities away from Snowburg.
3. Snowburg is on the right end.
4. New France is not the location.
5. Eh Land is 3 cities from Curling Town.
6. Canada City is 4 cities away from Snowburg.
7. Eh Land is next to the location and another place that isn't the location.
Sam is lazy, so he is paying you to find out where he is working.","Order: Curling Town, Canada City, Hockeyville, Eh Land, New France, Snowburg.
Location: Hockeyville
(Sorry though, no money)",,3.06,1.76
2 Teams,"Ace, Allie, Carl, Carla, Dora, Draco, Emma, Eric, Jacob, June, Kaleb, Luke, Qin, & Tina are divided equally between a red and a blue team. Can you figure out who is on what team?
Everyone with E at the end of their names are on the same team.
Everyone with a letter that is only in their name is on the same team.
Everyone with the most found letter in their names are split evenly between teams.
Jacob & Emma are on the same team.
Carl and Eric are on the red team.
Except for one pair, everyone that has the same first letter are on the same team.","Red Team:
Qin
Tina
Emma
Jacob
Carla
Carl
Eric
Blue Team:
Dora
Kaleb
Draco
Allie
Ace
June
Luke",Try to find who is on who's team before who is what color.,3.06,1.77
The Factual Murder,"There are five people. One of them shot and killed one of the other five. Which man is the murderer?
1. Dan ran in the NY City marathon yesterday with one of the innocent men.
2. Mike considered being a farmer before he moved to the city.
3. Jeff is a topnotch computer consultant and wants to install Ben's new computer next week.
4. The murderer had his leg amputated last month.
5. Ben met Jack for the first time six months ago.
6. Jack has been in seclusion since the crime.
7. Dan used to drink heavily.
8. Ben and Jeff built their last computers together.
9. The murderer is Jack's brother. They grew up together in Seattle.","1. Jack is not the murderer, because he is the brother of the murderer. 2. Dan can't be the murderer since he ran a marathon, and the murderer recently had his leg amputated, and wouldn't be running a marathon of any magnitude that quickly. 3. Ben is not the murderer if he just met Jack, since Jack and the murderer grew up together. 4. This leaves Jeff and Mike. Since Jeff is still alive (he wants to install a new computer next week, present tense) he must be the murderer. Mike also didn't grow up with Jack. It has been determined that Jack, Dan and Jeff are all alive. Ben must also be alive since Jeff plans to install Ben's computer next week. This means that Jeff killed Mike.",Observe the clues closely.,3.06,2.24
First Shall Be Last,"Angie, Carla, Colt, Eric, June, & Oliver are a weird group of friends. Why? Their last names are Angie, Carla, Colt, Eric, June, & Oliver, but not necessarily in that order. Can you figure out their last names? (Someone can have the same first and last name)
1. One of the people with Oliver in their name also has Angie
2. Someone's initials are C.C.
3. Eric and Oliver share no names
4. June & Angie don't have Oliver or Carla as their last name
5. June & Colt share no names
6. Carla's name has 4 syllables
7. At most one person has the same first and last name
8. Angie's last name is female
Clarification:
Angie - Female; 2 Syllables
Carla - Female; 2 Syllables
Colt - Male; 1 Syllable
Eric - Male; 2 Syllables
June - Female; 1 Syllables
Oliver - Male; 3 Syllables","June Eric
Eric Colt
Colt Oliver
Oliver Angie
Angie June
Carla Carla
Step 1: Oliver Angie
According to clue 1, we know there is either an Angie Oliver or an Oliver Angie; however from clue 4, we know there can't be an Angie Oliver, therefore we know that Oliver's last name is Angie.
Step 2: Colt Oliver
The first name that has Oliver as a last name can be solved with the process of elimination. It can't be June or Angie as per clue 4. It can't be Oliver as we already labeled his last name. It can't be Carla as ""Carla Oliver"" has 5 syllables, and it can't be Eric since he doesn't share any names with Oliver.
Step 3: Carla Carla
In clue 2 we know there is one of the following:
Colt Colt
Colt Carla
Carla Colt
Carla Carla
Since we already know Colt Oliver, we know Carla is the one with the last initial ""C."" ""Carla Colt"" only has 3 syllables, so therefore, we get Carla Carla.
Step 4: June Eric
For June's last name, there are 3 options: Colt, June & Eric. Clues 7 and 5 eliminate June & Colt respectively.
Step 5: Final 2
Angie's last name can't be Colt as per clue 8, so that leaves Angie June & Eric Colt.",,3.06,2.13
Beethoven's Wig,"Someone has stolen Beethoven's Wig and has put it in one of four locked boxes.  The boxes are numbered from 1,2,3,4 in that order.  There are four different keys that each has their own color.  Use the clues below to figure out which key goes in which box and to find the box where Beethoven's wig is being kept.
1. The green key goes to the third or fourth box
2. The wig is to the left of the fourth box
3. The wig is to the right of the first box
4. The yellow key is to the left of the wig
5. The blue key is to the right of the yellow key and to the left of the green key
6. The red key goes to the first box","The wig is in the third box
The red key goes to the first box
The yellow key goes to the second box
The blue key goes to the third box
The green key goes to the fourth box",,3.05,1.1
The Dragon Slayer,"Victor the Viking lived in a distant land inhabited by dragons and sea monsters.
The dragon population later became a threat to the kingdom. The King, who married Victor's sister and made her his queen, announced a contest. The warrior who could kill the most number of dragons from sunrise to sunset of next Sunday would be declared winner and marry the King's only daughter.
On the eve of the contest, Gringo the Gorgeous, first born of and heir to the King, slept early to conserve his energy with his sharpened ax beside him.
Victor the Viking, who almost forgot his ax and shield, rode his black gelding into the forbidden forest and camped there overnight to gain a headstart.
Abner the Able spent the night in his house sharpening his spatha and polishing his bronze shield. he had his squire prepare his stallion for the contest.
Brav the Bold woke up very late the morning of the contest and had to ride his horse like crazy to catch up with the others.
Igor the Terrible, the only warrior who used two weapons was able to kill 4 dragons with his ax and 5 dragons with his spear.
At the wedding dinner hosted by the king later that evening, the winner, who killed more than a half dozen dragons with his ax, and his proud parents were honored by the King.
The winner's horse was castrated and retired from duty. The winner's bronze shield was permanently displayed in the King's Hall.
Who won the contest?","Brav the Bold won the contest. (by process of elimination)
Gringo the Gorgeous, first born of the king, could not be the winner because the winner was not the king's son. The winner and his parents were honored by the King.
Abner the Able, whose only weapon was a spatha( a sword) could not be the winner because the winner used an ax to kill dragons. Only Igor used two weapons.
Igor the Terrible, who killed only 4 dragons with his ax (and 5 dragons with his spear), could not be the winner because the winner killed more than a half dozen dragons with his ax.
Victor the Viking, whose horse was a gelding(castrated horse), could not be the winner because the winner's horse was castrated after the contest.
Brav the Bold must have killed at least 10 dragons because Igor killed a total of 9.  More than a half dozen means a number greater than 6, including 10.",,3.05,1.81
Survival of the People,"The Situation:
There is an island with 10 inhabitants. One day a monster comes and says that he intends to eat every one of them but will give them a chance to survive in the following way:
In the morning, the monster will line up all the people - single file so that the last person sees the remaining 9, the next person sees the remaining 8, and so on until the first person that obviously sees no one in front of himself. The monster will then place black or white hats on their heads randomly (they can be all white, all black or any combination thereof).
The monster will offer each person starting with the last one (who sees everyone else's hats) to guess the color of his/her own hat. The answer can only be one word: ""white"" or ""black"". The monster will eat him on the spot if he guessed wrong, and will leave him alive if he guessed right. All the remaining people will hear both the guess and the outcome of the guess. The monster will then go on to the next to last person (who only sees 8 people), and so on until the end.
The monster gives them the whole night to think.
The Task:
Devise the optimal strategy that these poor natives could use to maximize their survival rate.
Assumptions:
1) All the 10 people can easily understand your strategy, and will execute it with perfect precision.
2) If the monster suspects that any of the people are giving away information to any of the remaining team members by intonation of words when answering, or any other signs, or by touch, he will eat everyone.
3) The only allowed response is a short, unemotional ""white"" or ""black"".
4) Having said that, I will add that you can put any value you like into each of these words. For example, ""white"" can mean ""my mother did my laundry"" and ""black"" can mean the guy in front of me is wearing a black hat.","Here it is: The first guy to guess (guy #10) will be the only one to assume the following value for the words ""white"" and ""black"": The answer ""black"" will mean that there are an odd number of black hats that he sees. The answer ""white"" will mean that there are an odd number of white hats that he sees. This way one by one all the other 9 people will know the color of their hats.
Let us say that guy #10 (first to speak, and sees the hats of the remaining 9) says ""white"". That should mean to everybody else that he sees an odd number of white hats. At this time guy #9 will either be wearing a white or a black hat. If he is wearing a white hat he will only see an even number of white hats, and since guy #10 said that there is and odd number of white hats, guy #9 will know that he is wearing white and will say it. But if guy #9 is wearing a black hat, he will see an odd number of white hats (just like #10 did), and thus will know that he is wearing a black hat and will say it. No matter what #9 answers, guy #8 (who heard guy #10 and guy #9) can now easily incorporate the color of hat on guy #9 into the original answer of guy #10. This will allow #8 to know if he should see an odd or even number of white hats in front of him to determine his own hat color. The same thing repeats with #7-1. And they all get it right except of course #10, though he may get lucky.","1) First hint is an example. Here is a simple strategy that will guarantee safety to 50%. Guy #10 (when he guesses) says the color of the hat on guy #9. Thus #10 may die or may luck out, but #9 will save himself since he will know his hat color. Thus #8 helps #7, #6 helps number #5, and so on. You thus save numbers 9, 7, 5, 3, and 1, or half the people. But you can do a lot better than that.
2) The best strategy will save a minimum of 90% of the people.",3.05,3.01
Tic-Tac-Toothpick,"Moving only three toothpicks, can you make three identical squares from the arrangement below?",Move the toothpicks marked with grey into the positions marked with green.,,3.05,1.53
Seven Jack O'Lanterns,"It appears that you have angered the spirit of Halloween by failing to revere the Great Pumpkin, and now a curse has befallen you.  On the walkway to your house is a Ward of Seven Jack O'Lanterns arranged in a circle.  If midnight comes and any of the seven are still lit, a dark reaper and seven dark horses with seven dark riders shall visit thy abode.  They shall surround thy domicile and, while circling it, they will proceed to pelt thy dwelling with eggs and cream of shaving.  And come morn there will be a great mess to be reckoned with.  Verily.  So you better get those lanterns out.
You quickly discover something odd about these lanterns.  When you blow out the first one, the lanterns on either side extinguish as well!  But there is more.  If you blow out a lantern adjacent to one that is extinguished, the extinguished one(s) will relight.  It seems that blowing on any lantern will change the state of three - the one you blew on and its two neighbors.  Finally, you can blow on an extinguished lantern and it will relight, and its neighbors will light/extinguish as applicable.  After trying once and finding all seven lit again, you decide, being the excellent puzzler, you sit down and examine this closer.  But hurry, I hear the beating of many hooves...","If you examine the setup carefully, you'll note a number of facts which make the puzzle easier to solve by deduction.  First, blowing on a lantern is a commutative property; blowing on lanterns 1, 5, then 3 is the same as blowing on 3, then 1, and then 5.  No matter what order the lanterns are blown on, if the same lanterns are blown on the same number of times, the result won't change.  For that reason, blowing on a lantern twice is as good as not blowing on it at all.  And three times is as good as one time. So, it seems that it should be able to be done in seven steps or less.
What else can we tell about the solution?  Since each operation changes the state of three lanterns, and there are 7 lanterns, and each lantern must change its state an odd number of times, it's a safe bet that there will need to be an odd number of steps.  We can easily see it can't be done in 1 or 3 steps, so it must be 5 or 7.  Trying 5 steps comes up with 3 different patterns that are not symmetrical and fail to leave all lanterns extinguished.  So that leaves 7 steps and to your surprise, based on the commutative property, the easiest solution is to blow on each one in order!  So doing this, the Great Pumpkin has decided to give you a treat for figuring this out and you find all seven lanterns full of candy the next morning!  Congratulations!",,3.03,2.45
