Title,Question,Answer,Hint,Popularity/Fun,Difficulty
Number Tricks,"Ms. Arroyo asked the class to see if they could find the sum of the first 50 odd numbers. As everyone settled down to their addition, Terry ran to her and said, ""The sum is 2,500."" Ms. Arroyo thought, ""Lucky guess,"" and gave him the task of finding the sum of the first 75 odd numbers. Within 20 seconds, Terry was back with the correct answer of 5,625.
How does Terry find the sum so quickly?","The following pattern holds: The sum is equal to n x n, when n is the number of consecutive odd numbers, starting with 1. For example, the sum of the first 3 odd numbers is equal to 3 x 3, or 9; the sum of the first 4 odd numbers is equal to 4 x 4, or 16; the sum of the first 5 odd numbers is equal to 5 x 5, or 25; and so on.","Consecutive odd numbers are 1, 3, 5, 7....
Start with the first several odd numbers and look for a pattern.",2.99,1.94
The Father of Algebra,"Diophantus was a Greek mathematician who lived in the third century.  He was one of the first mathematicians to use algebraic symbols.
Most of what is known about Diophantus's life comes from an algebraic riddle from around the early sixth century.  The riddle states:
Diophantus's youth lasted one sixth of his life.  He grew a beard after one twelfth more.  After one seventh more of his life, he married.  5 years later, he and his wife had a son.  The son lived exactly one half as long as his father, and Diophantus died four years after his son.
How many years did Diophantus live?","The riddle, the ""facts"" of which may or may not be true, results in the following equation:
x/6 + x/12 + x/7 + 5 + x/2 + 4 = x
where x is Diophantus's age at the time of his death.
Therefore, Diophantus lived exactly 84 years.",,2.98,1.99
Palindromic Time,"On a 12-hour digital clock, what is the smallest interval between two times that are palindromic (can be read forwards and backwards as the same number)?","The interval is two minutes, between the times of 9:59 and 10:01.",It's shorter than 10 minutes!,2.97,1.94
How Many Campers?,"Camp Pineveiw's cook, Margaret Johnson, was just about to begin preparing the picnic lunch for all the campers. She already knew she needed to fill 55 bowls of the same size and capacity with the same amount of food. When she was done, she decided to read the guidelines for the picnic, just out of curiosity. The guidelines said:
1. Every camper gets their own bowl of soup.
2. Every two campers will get one bowl of spaghetti to share.
3. Every three campers will get one bowl of salad to share.
4. All campers are required to have their own helping of salad, spaghetti, and soup.
After some rapid calculations, Margaret was able to figure out how many campers were going to the picnic. Can you?",30 campers.,"If there were only six campers, there would be six bowls of soup, three bowls of spaghetti, and two bowls of salad.",2.97,1.59
Troubling Doubling at School,"Read the little poem and answer its question if you can.
The number of girls who do wear a watch
is double the number who don't.
But the number of boys who do not wear a watch
is double the number who do.
If I tell you the number of girls in my class
is double the number of boys,
Can you tell me the number I teach?  Here's a clue:
More than 20; below 32!","27
Solution:
The number of boys must be a multiple of 3 (3, 6, 9...) so that it can be split in the ratio of 2:1 (no watch:watch).
The number of girls is double the no. of boys (6, 12, 18...)
So the totals can only be 9, 18, 27...",The sum of number plus its double must be a multiple of 3.,2.95,1.65
The Dishonest Grocer,"Quinn, Ralph, and Steve work at a grocery store that sells apples, bananas, and oranges. Quinn says, ""Seven apples and five bananas cost the same as six oranges."" Ralph says, ""Four apples and nine oranges cost the same as five bananas."" Steve says, ""Six oranges and three bananas cost the same as four apples."" Only one is lying...but who?","Quinn is lying.
Let a equal the price of apples, b equal the price of bananas, and o equal the price of oranges. Quinn is saying that 7a + 5b = 6o. Ralph is saying that 4a + 9o = 5b. Steve is saying that 6o + 3b = 4a.
Combining Quinn's and Ralph's statements, we get 11a = -3o. This is impossible.
Combining Ralph's and Steve's statements, we get 15o = 2b. This is possible.
Combining Quinn's and Steve's statements, we get 8b = -3a. This is impossible.
This means that either Quinn is lying, or Ralph and Steve are both lying. But there only can be one liar: obviously Quinn.","The three values equivalents must be considered in pairs. The one false equivalent leads to two impossible situations, while the pair of true equivalents is a possible situation.",2.94,1.94
Missing Price,"When I went to the store, I purchased four items. The following shows the cost of three of the items:
$1.50
$3.00
$4.00
The line to the checkout was pretty long, so to quench my boredom I started playing with my pocket calculator while waiting.
I found out, to my surprise, that the four prices of the four items I purchased added to the same number as I got when I multiplied the four prices together.
What was the price of the fourth item?","The three prices add to 1.50 + 3.00 + 4.00 = $8.50.
The three prices multiply to 1.50 x 3.00 x 4.00 = $18.00.
You might be able to see that adding another $0.50 will take the total to $9.00, and multiplying by another $0.50 will take the product to $9.00 also, but the answer can also be found using algebra. Let's call the unknown price P:
1.50 + 3.00 + 4.00 + P = 1.50 x 3.00 x 4.00 x P
8.50 + P = 18.00 x P
8.50 = 18.00 x P - P
8.50 = 17.00 x P
8.50/17.00 = P
P = 0.50.",Add and multiply what you have already.,2.91,1.05
Monk Steps,"A monk has a very specific ritual for climbing up the steps to the temple. First he climbs up to the middle step and meditates for 1 minute. Then he climbs up 8 steps and faces east until he hears a bird singing. Then he walks down 12 steps and picks up a pebble. He takes one step up and tosses the pebble over his left shoulder. Now, he walks up the remaining steps three at a time which only takes him 9 paces. How many steps are there?","There are 49 steps.
He climbs halfway, which is step 25. He hears the bird singing on step 33. He picks up the pebble on the 21st step and tosses it on the 22nd step. The remaining 27 steps are taken three at a time which is 9 paces.",,2.88,2.12
Tic Tac Toe,"Arrange the numbers 1 through 9 on a tic tac toe board such that the numbers in each row, column, and diagonal add up to 15.","4, 3, 8,
9, 5, 1,
2, 7, 6,",,2.86,1.62
100 Closed Lockers,"Suppose you're in a hallway lined with 100 closed lockers.
You begin by opening every locker. Then you close every second locker. Then you go to every third locker and open it (if it's closed) or close it (if it's open).  Let's call this action toggling a locker. Continue toggling every nth locker on pass number n.  After 100 passes, where you toggle only locker #100, how many lockers are open?","Answer: 10 lockers are left open:
Lockers #1, 4, 9, 16, 25, 36, 49, 64, 81, and 100.
Each of these numbers are perfect squares. This problem is based on the factors of the locker number.
Each locker is toggled by each factor; for example, locker #40 is toggled on pass number 1, 2, 4, 5, 8, 10, 20, and 40.  That's eight toggles: open-closed-open-closed-open-closed-open-closed.
The only way a locker could be left open is if it is toggled an odd number of times. The only numbers with an odd number of factors are the perfect
squares. Thus, the perfect squares are left open.
For example, locker #25 is toggled on pass number 1, 5, and 25 (three toggles): open-closed-open.",,2.85,2.83
Parakeet Basketball,"Your favorite college basketball team, the Fighting Parakeets, is playing against a rival, but you haven't been able to see any of the game yet because you have been busy.  However, your brother was in a nearby room watching it.  Your brother sees a statistics display during the halftime break and decides to give you a trick math test.  You come into the room as the second half is beginning and see that your team is winning 32-29.  Your brother says, ""The Fighting Parakeets have scored on 18 shots.  They have made at least twice as many 2-point shots as free throws.  How many free throws, 2-pointers, and 3-pointers have they made?""  He thinks you will become confused in your figuring because he has not given you quite enough information to find the solution.  However, you could hear bits and pieces of the game from the next room while you were busy, and you happened to hear that your favorite Fighting Parakeets player nailed a long 3-point shot.  What is the answer to your brother's question?","5 free throws, 12 2-point shots, and 1 3-point shot.
Let x be the number of free throws made,
y be the number of 2-pointers made,
and z be the number of 3-pointers made.
From the score, you know (A): x + 2y + 3z = 32
From the quote, you know (B): x + y + z = 18
Multiply (B) by 3 to get (C): 3x + 3y + 3x = 54
Subtract (A) from (C) to get: 2x + y = 22, or (D): y = 22 - 2x
From the quote, you also know (E): 2x <= y
Substituting (D) into (E) gives: 2x <= 22 - 2x, or (F): x <= 5.5
If x=5, then from (D) you get y=12, and from (A) you get z=1.
If x=4, then y=14, and z=0.
If x=3, then y=16, and z=-1.  This is not possible because z cannot be negative.  If you continue decrementing x, then z will continue to decrease too.
So, you have two options that fit the criteria given by your brother:
5 free throws, 12 2-point shots, 1 3-point shot, or
4 free throws, 14 2-point shots, 0 3-point shots.
So it's a good thing that you heard that your favorite player made a 3-pointer, because that eliminates the second option!",A free throw scores 1 point.,2.85,2.31
Area of a Square,"You have a piece of paper, 10cm by 10cm.  Area = 100cm^2.  For some reason, you need a square piece of paper with an area of 50cm^2.  Using the paper you have, what's an easy way of getting the new square?","Fold the four corners of the square into the centre.  This doubles the thickness of the paper, and so halves the area.","Try it with a piece of paper, doesn't matter the size of the square, try to find a square half its size inside it.",2.85,1.67
Mimi's Mathematical Moment,"Fresh and invigorated after completing her algebra homework, Mimi appeared at the living room door. She held a piece of paper covered in scribbled numbers, 'm's, 'd's, and equations.
""Dad!"" she announced. ""Five years from now you'll be only double my age!""
""Amazing!"" Dad almost looked up from the TV, but knew she hadn't finished.
""But five years ago, you were triple my age then!""
""I suppose in another ten years we'll be the same age,"" Dad grunted, changing channels.
How old is Mimi?","Mimi is 15 (and Dad is 35).
This one is probably easiest to guess and check. There are lots of little clues that help narrow down the options to guess. You might like to write some of these in the comments section.
e.g. Dad's age must have been a multiple of 6 five years ago. His age was triple Mimi's and ten years later it would be a multiple of two. So it was a multiple of both 3 and 2.
Or you could use algebra:
Let m and d represent Mimi's and Dad's ages now.
1. d-5 = 3x(m-5)
2. d+5 = 2x(m+5)
d-5 = 3m-15   ... *1*
d+5 = 2m+10 ... *2*
-10 = m-25     ... subtracting *2* from *1*
So m=15",Don't pay any attention to Dad's rather mindless comment at the end! He'd had a tough day.,2.84,1.37
The Secret Code,"A man wanted to get into his work building, but he had forgotten his code. However, he did remember five clues. These are what those clues were:
The fifth number plus the third number equals fourteen.
The fourth number is one more than the second number.
The first number is one less than twice the second number.
The second number plus the third number equals ten.
The sum of all five numbers is 30.
What were the five numbers and in what order?","7, 4, 6, 5, 8",,2.82,1.82
Brave Sailors,"We are brave sailors always riding the sea
We are less than one hundred but as tough as can be
We sleep in three bunkers on top of each other
Our numbers double from one bunker to another
We dance in joy all through the night
In groups of fives under the moonlight
Last night twelve of us were swallowed by waves
Leaving alive more than two third of the braves
Still we continue the journey refusing to fail
So tell me how many of us are left to sail?","58 sailors are left.
1. From line 2: Total number of sailors is <100.
2. From lines 3 & 4: Let number of sailors sleeping in bunker 1 be X, then number of sailors sleeping in bunker 2 is 2X and in bunker 3 is 4X,
i.e. Total number of sailors = X+2X+4X = 7X and thus it is a multiple of 7.
3. From line 6: dancing in groups of fives means the total number is a product of 5.
4. From lines 7 & 8: 12 of the sailors drowned in the sea, leaving more than two third of the sailors alive, so the total number is > 36 (3 * 12).
Summing up all the above given information, the total number of sailors is <100 and >36, it divides by 7 and 5, which adds up to the total number of 70 sailors.
Since 12 of the 70 sailors died in the sea, there are 58 sailors left to continue the journey.",,2.81,1.97
The Bar of Gold,"A worker is to perform work for you for seven straight days.  In return for his work, you will pay him 1/7th of a bar of gold per day. The worker requires a daily payment of 1/7th of the bar of gold.  What and where are the fewest number of cuts to the bar of gold that will allow you to pay him 1/7th each day?","Day One:  You make your first cut at the 1/7th mark and give that to the worker.
Day Two:  You cut 2/7ths and pay that to the worker and receive the original 1/7th in change.
Day three:  You give the worker the 1/7th you received as change on the previous day.
Day four:  You give the worker 4/7ths and he returns his 1/7th cut and his 2/7th cut as change.
Day Five:  You give the worker back the 1/7th cut of gold.
Day Six:  You give the worker the 2/7th cut and receive the 1/7th cut back in change.
Day Seven:  You pay the worker his final 1/7th.
Everyone is happy.",Only two cuts are required.,2.81,2.28
Circle of Children,A number of children are standing in a circle. They are evenly spaced and the 7th child is directly opposite the 18th child. How many children are there altogether?,22; in half of the circle there are 11 children because 18-7=11. Multiply 11x2=22!,ow many children are in half of the circle?,2.81,1.24
Mr. and Mrs. Crazy: Petrol Shortage,"Recently Mr. And Mrs. Crazy have heard the news about the petrol shortage. The king has introduced to the villagers petrol rationing according to the following system, based on the 3-digit number of each number-plate (000 to 999) of the cars in the village.
People could only buy petrol on certain days as follows:
Sunday: if each of the three digits was less than 6
Monday: if the 3-digit number was odd
Tuesday: if the sum of the three digits was greater than 10
Wednesday: if the 3-digit number was a multiple of 3
Thursday: if the sum of the three digits was less than 15
Friday: if at least two of the three digits were the same
Saturday: if the 3-digit number was less than 500
If Mr. and Mrs. Crazy could refuel their car on any day of the week, what is the number on their car's number-plate?",255,,2.81,1.97
Sunnies,"It was going to be another really hot day, but Ted needed a new pair of cool sunnies* before he could hit the surf.  He needed another $52 to buy the ones he wanted.
Ted decided to sell home-made smoothies at his gate: $2 each, or three for $4.   He had the $52 after selling 32 smoothies, stopped work and headed off to the beach.
How many smoothies had been sold at the $2 price?
* sunnies = sunglasses in New Zealand & Australia","14
[14 @ $2 = $28; 18 @ 3 for $4 = $24]
Solution:
If he had sold them all at $2, he would have earned $64.  The $12 difference is the discount he gave to six people buying 3 for $4.
So 18 were sold at the discount price - the other 14 were sold individually.",,2.8,1.35
Slow and Stupid Wins the Race?,"Hare and Tortoise had to take a make-up class in math over the summer, a two-month, self-paced course with a test at the end of each of 12 chapters. The course requires a 70% grade to pass.
In the first month, they both had difficulties with the concepts. Hare averaged 60% on his exams; Tortoise averaged 50%. Owl, the supervisor, spent three days of the next week helping them with their difficulties.
It worked. In the second month, Hare averaged 90% on his exams; Tortoise averaged 80%.
However, Tortoise got a passing grade of 75% in the class; Hare failed with 65%. When Hare protested to Owl that he'd outscored Tortoise in both months, Owl made Hare do the math on the board -- and sign up for another make-up class, after school in the fall.
How did Tortoise pass while Hare flunked?","In the first month, Hare took 10 chapter tests; Tortoise took only 2. In the second month, Hare took his remaining 2 exams and Tortoise took the 10 he needed to finish.
Hare's average = (10*60 + 2*90) / 12 = 780/12 = 65
Tortoise's average = (2*50 + 10*80)/12 = 900/12 = 75
Mathematicians know this as Simpson's paradox.",They worked at different speeds.,2.8,2.19
Magic Triangles,"You've heard of Magic Squares; now it's time to meet Magic Triangles.
Arrange the numbers 1 through 6 on a triangle, placing one number at each point and one number along each side between the points, such that the sum of the three numbers on any given side is equal.
Once you account for rotation/reflection, there are four unique answers; each has a different sum. See if you can find them all!","Sum  9 - sides are 153, 342, and 261.
Sum 10 - sides are 145, 523, and 361.
Sum 11 - sides are 236, 614, and 452.
Sum 12 - sides are 426, 615, and 534.","The four solutions have sum 9, 10, 11, and 12.",2.8,2.16
Merchant's Gold,"A rich merchant had collected many gold coins. He did not want anybody to know about them. One day, his wife asked, ""How many gold coins do we have?""
After pausing a moment, he replied, ""Well! If I divide the coins into two unequal numbers, then 32 times the difference between the two numbers equals the difference between the squares of the two numbers.""
The wife looked puzzled. Can you help the merchant's wife by finding out how many gold coins they have?","The merchant has 32  gold coins.
It is easy to check this... Let's divide the 32  coins into two unequal numbers, say, 27 and 5. Then,
32  (27 - 5) = (27 x 27) - (5 x 5).",,2.79,2.42
Free Pizza Day,"The owner of Senior Pete's Pizza decided to celebrate his birthday by giving away free pizza to anyone who can solve his puzzle:
If a pizza's radius is defined as ""z"" and it's depth defined ""a"", then what is that pizza's volume?
Can you answer Pete's puzzle correctly?","Volume = (Î )(radius)^2(depth)
V=pi(r)(r)(d)
So...
Pizza Volume = (pi)(z^2)(a) = pizza",,2.79,0.95
44 Potatoes,"Gary began peeling a pile of 44 potatoes at the rate of 3 per minute. Four minutes later, Christen joined him, and peeled at the rate of 5 potatoes per minute. When they were finished, how many potatoes had each peeled?","Gary:24
Christen:20",,2.79,1.18
"Who Needs the Right Formula, Anyway?","This morning I asked my math class to find the areas of two right-angled triangles. Lottie-Lu's hand shot up immediately, so I asked her the first one.
""24"" she announced.
She was right (for a change!) and I made the mistake of asking her how she did it.
""Easy.  Just add all the sides together.""
I was about to correct her and say it was just a coincidence, when I noticed that her method worked on my second triangle as well!
Lottie-Lu must have caught my frustrated thoughts.  ""Well, it works, doesn't it?"" she chirped.
What were the side lengths of the two triangles I had drawn on the board this morning?   They were all whole numbers.","1.  6-8-10  (Area = 6x8/2 = 24)
2.  5-12-13  (Area = 5x12/2 = 30)",Use the fact that all three sides of each triangle were whole numbers.,2.79,1.89
The Four-Stone Ring,"While Christmas shopping, I chose a gold ring set with stones for my mother.
A ring set with 2 rubies and a diamond would have cost £3,000. One set with 4 amethysts and a diamond would come to £2,000. And 3 emeralds, 1 amethyst and a diamond would be £1,400.
Being a thoughtful son, I chose a ring that would have sentimental value. As my mother called her children Ellen, David, Richard and Andy, I have chosen a ring with one of each stone, to represent her children's names.
How much will my ring containing 1 emerald, 1 diamond, 1 ruby and 1 amethyst cost me?","The three rings can be expressed as:
0E + 0A + 2R + 1D = £3,000
0E + 4A + 0R + 1D = £2,000
3E + 1A + 0R + 1D = £1,400
If we multiply the first line by 1.5 and divide the second line by 2, then total all three rings we get:
0E + 0A + 3R + 1.5D = £4,500
0E + 2A + 0R + .5D = £1,000
3E + 1A + 0R + 1D = £1,400
_________________________
3E + 3A + 3R + 3D = £6,900
£6,900  / 3 = £2,300
From this, we can see that a ring with one of each stone will cost me £2,300.",Finding the cost of each gem is not possible. It is still possible to find the value of the ring.,2.79,2.49
The Dilemma of Bread,"A hunter met two shepherds, one of whom had three loaves and the other, five loaves. All the loaves were the same size. The three men agreed to share the eight loaves equally between them. After they had eaten, the hunter gave the shepherds eight bronze coins as payment for his meal. How should the two shepherds divide this money based on the bread they gave to the hunter?","The shepherd who had three loaves should get one coin and the shepherd who had five loaves should get seven coins. If there were eight loaves and three men, each man ate two and two-thirds loaves. So the first shepherd gave the hunter one-third of a loaf and the second shepherd gave the hunter two and one-third loaves. The shepherd who gave one-third of a loaf should get one coin and the one who gave seven-thirds of a loaf should get seven coins",Eight divided by three,2.79,1.84
Firefighter,"A firefighter stood on the middle rung of a ladder, spraying water on a burning house. He then climbed up 6 rungs before the heat of the flames caused him to come down 10 rungs. After some minutes he was able to climb 18 rungs to the very top of the ladder. How many rungs did the ladder have?","29 rungs
The firefighter is standing on the middle rung. He goes up 6 rungs so he is now at M+6, he now goes down 10 rungs so he is now at M-4 he goes up 18 rungs so he is now at M+14=T. 14 rungs from the top, 14 rungs from the bottom and the middle rung. 14+14+1=29!",,2.79,1.17
Farm Animals!,"Your objective is to buy exactly 100 farm animals with exactly 100 dollars. You must buy at least 1 of each animal. You may need some paper!
The Costs:
Cows: $10 each
Pigs: $ 3 each
Chickens: $0.50 each","5 cows=$50
1 pig=$3
94 chickens=$47
100 animals=100 dollars","There's a lot of chickens; over 85, but under 95.",2.77,1.74
Hi Dude,"If 125207 is ""Hi"", and 031993121212 is ""Dude"", then 125207031993121212 is ""Hi Dude"".
Then what is 799717777010909230151693122001983?","It's ""You Are Great"".
Separate the numbers into groups of three, and then add up the three numbers. The total amount will point to a certain letter, and if you continue doing it until all numbers are used, it'll form the sentence ""You Are Great"".",,2.77,2.82
Ladder,"Assume the ladder is NOT an extension ladder.
A 25 ft ladder is placed with its foot 7 ft away from a building. If the top of the ladder slips down 4 ft, how many feet will the bottom slide out?","8 ft
First triangle: 7 squared + 24 squared = 25 squared, so the top of the ladder was 24 feet high.
24 - 4= 20. 25 squared - 20 squared = 225. Take the square root of that and you get 15: the new base of the triangle. 15 - 7 (the old base) = 8ft",It is not 4 ft. Try some Pythagorean theoreming.,2.76,1.87
Four Dozen Campers,"The 4 dozen campers in the junior division live in 6 differently colored cabins along Miller's Pond. The smallest cabin has 6 campers, and the orange cabin is the largest with 10 campers. The yellow and green cabins are the only cabins with the same number of campers. The 13 youngest campers are in the red and blue cabins with the least number of campers. The purple cabin has 2 more campers than the blue cabin.
How many campers are in each cabin?","Orange = 10
Purple = 9
Yellow = 8
Green = 8
Blue = 7
Red = 6
From the second and fourth lines, you know that one cabin contains 10 campers and the two smallest cabins contain 7 and 6 campers.  This leaves 48 - 10 - 7 - 6 = 25 campers unaccounted for.  You know that the yellow and green cabins have the same number of campers (Statement 3) and that the purple cabin has either 8 (6+2) or 9 (7+2) campers (Statement 5).  There can't be 8 in the purple cabin because that would leave 17 for the yellow and green cabins, which doesn't divide by two evenly.  Therefore there are 9 campers in the purple cabin leaving 8 in each of the yellow and green cabins.  This also means that there are 7 campers in the blue cabin, from the last statement.  All that's left is the red cabin, with 6 campers.",You can make a chart. Work backwards to get some of the information.,2.76,1.82
